Number,Species,Plot_Trans_Survey,Time,Plot,Transect,Subplot,Plot_Trans,survey,Date,Observer,Weather,Vegetation,Leaf_Litter,Humidity,Temp,Precip,tpi_100,elev,Slope,Aspect,solar,twi_10,Lat,Long,bearing,Comments
2,PJOR,51-3-6/13/2012,1:58,51,3,15-20,51-3,1,06/13/2012,DJH,Clear,Dry,Dry,80.1,15.4,2.243503809,-5.33874511719,1170.06433105000,9.93099021912,185.17463684100,0,-7.58936452866,35.629825,-83.450029,trail,
0,NA,51-3-6/13/2012,1:58,51,3,10-15,51-3,1,06/13/2012,DJH,Clear,Dry,Dry,80.1,15.4,2.243503809,-5.33874511719,1170.06433105000,9.93099021912,185.17463684100,0,-7.58936452866,35.629825,-83.450029,trail,
0,NA,51-3-6/13/2012,1:58,51,3,20-25,51-3,1,06/13/2012,DJH,Clear,Dry,Dry,80.1,15.4,2.243503809,-5.33874511719,1170.06433105000,9.93099021912,185.17463684100,0,-7.58936452866,35.629825,-83.450029,trail,
1,PJOR,51-4-6/13/2012,1:58,51,4,0-5,51-4,1,06/13/2012,JRM,Clear,Dry,Dry,80.1,15.4,2.243503809,-6.68420410156,1170.31420898000,10.45883750920,184.45637512200,0,1.02860379219,35.629861,-83.44982,trail,
1,PJOR,51-4-6/13/2012,1:58,51,4,5-10,51-4,1,06/13/2012,JRM,Clear,Dry,Dry,80.1,15.4,2.243503809,-6.68420410156,1170.31420898000,10.45883750920,184.45637512200,0,1.02860379219,35.629861,-83.44982,trail,
1,PJOR,51-4-6/13/2012,1:58,51,4,10-15,51-4,1,06/13/2012,JRM,Clear,Dry,Dry,80.1,15.4,2.243503809,-6.68420410156,1170.31420898000,10.45883750920,184.45637512200,0,1.02860379219,35.629861,-83.44982,trail,
2,PJOR,51-4-6/13/2012,1:58,51,4,15-20,51-4,1,06/13/2012,JRM,Clear,Dry,Dry,80.1,15.4,2.243503809,-6.68420410156,1170.31420898000,10.45883750920,184.45637512200,0,1.02860379219,35.629861,-83.44982,trail,
1,DOCO,51-4-6/13/2012,1:58,51,4,20-25,51-4,1,06/13/2012,JRM,Clear,Dry,Dry,80.1,15.4,2.243503809,-6.68420410156,1170.31420898000,10.45883750920,184.45637512200,0,1.02860379219,35.629861,-83.44982,trail,
1,EWIL,3-1-6/16/2012,23:18,3,1,5-10,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
5,EWIL,3-1-6/16/2012,23:18,3,1,10-15,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
1,PTEY,3-1-6/16/2012,23:18,3,1,10-15,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
1,EWIL,3-1-6/16/2012,23:18,3,1,15-20,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
1,PTEY,3-1-6/16/2012,23:18,3,1,15-20,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
1,EWIL,3-1-6/16/2012,23:18,3,1,20-25,3-1,1,06/16/2012,WEP,Clear,Dry,Dry,88.2,18.9,5.385398388,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563227,-83.330469,320,
0,NA,3-2-6/16/2012,23:18,3,2,0-5,3-2,1,06/16/2012,JAC,Clear,Dry,Dry,88.2,18.9,5.387845039,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563234,-83.330475,320,
0,NA,3-2-6/16/2012,23:18,3,2,5-10,3-2,1,06/16/2012,JAC,Clear,Dry,Dry,88.2,18.9,5.387845039,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563234,-83.330475,320,
0,NA,3-2-6/16/2012,23:18,3,2,10-15,3-2,1,06/16/2012,JAC,Clear,Dry,Dry,88.2,18.9,5.387845039,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563234,-83.330475,320,
0,NA,3-2-6/16/2012,23:18,3,2,15-20,3-2,1,06/16/2012,JAC,Clear,Dry,Dry,88.2,18.9,5.387845039,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563234,-83.330475,320,
1,PTEY,3-2-6/16/2012,23:18,3,2,20-25,3-2,1,06/16/2012,JAC,Clear,Dry,Dry,88.2,18.9,5.387845039,-1.88500976563,715.73504638700,8.24719238281,58.39954376220,186,-3.56065940857,35.563234,-83.330475,320,
0,NA,3-3-6/16/2012,23:18,3,3,0-5,3-3,1,06/16/2012,DJH,Clear,Dry,Dry,88.2,18.9,4.105726719,-0.87078857422,713.78472900400,8.92779445648,59.35024261470,186,-3.63631463051,35.563268,-83.330443,320,
1,PTEY,3-3-6/16/2012,23:18,3,3,5-10,3-3,1,06/16/2012,DJH,Clear,Dry,Dry,88.2,18.9,4.105726719,-0.87078857422,713.78472900400,8.92779445648,59.35024261470,186,-3.63631463051,35.563268,-83.330443,320,
0,NA,3-3-6/16/2012,23:18,3,3,10-15,3-3,1,06/16/2012,DJH,Clear,Dry,Dry,88.2,18.9,4.105726719,-0.87078857422,713.78472900400,8.92779445648,59.35024261470,186,-3.63631463051,35.563268,-83.330443,320,
0,NA,3-3-6/16/2012,23:18,3,3,15-20,3-3,1,06/16/2012,DJH,Clear,Dry,Dry,88.2,18.9,4.105726719,-0.87078857422,713.78472900400,8.92779445648,59.35024261470,186,-3.63631463051,35.563268,-83.330443,320,
0,NA,3-3-6/16/2012,23:18,3,3,20-25,3-3,1,06/16/2012,DJH,Clear,Dry,Dry,88.2,18.9,4.105726719,-0.87078857422,713.78472900400,8.92779445648,59.35024261470,186,-3.63631463051,35.563268,-83.330443,320,
0,NA,3-4-6/16/2012,23:18,3,4,0-5,3-4,1,06/16/2012,JRM,Clear,Dry,Dry,88.2,18.9,4.104074478,-0.47406005859,715.03070068400,13.40849971770,78.74783325200,186,-6.79182434082,35.563368,-83.330506,320,
0,NA,3-4-6/16/2012,23:18,3,4,5-10,3-4,1,06/16/2012,JRM,Clear,Dry,Dry,88.2,18.9,4.104074478,-0.47406005859,715.03070068400,13.40849971770,78.74783325200,186,-6.79182434082,35.563368,-83.330506,320,
0,NA,3-4-6/16/2012,23:18,3,4,10-15,3-4,1,06/16/2012,JRM,Clear,Dry,Dry,88.2,18.9,4.104074478,-0.47406005859,715.03070068400,13.40849971770,78.74783325200,186,-6.79182434082,35.563368,-83.330506,320,
1,PTEY,3-4-6/16/2012,23:18,3,4,15-20,3-4,1,06/16/2012,JRM,Clear,Dry,Dry,88.2,18.9,4.104074478,-0.47406005859,715.03070068400,13.40849971770,78.74783325200,186,-6.79182434082,35.563368,-83.330506,320,
0,NA,3-4-6/16/2012,23:18,3,4,20-25,3-4,1,06/16/2012,JRM,Clear,Dry,Dry,88.2,18.9,4.104074478,-0.47406005859,715.03070068400,13.40849971770,78.74783325200,186,-6.79182434082,35.563368,-83.330506,320,
0,NA,2-1-6/16/2012,00:20,2,1,0-5,2-1,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.414315224,-1.27539062500,652.13159179700,13.41668987270,165.09268188500,0,-7.75246238708,35.5376,-83.301781,310,
0,NA,2-1-6/16/2012,00:20,2,1,5-10,2-1,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.414315224,-1.27539062500,652.13159179700,13.41668987270,165.09268188500,0,-7.75246238708,35.5376,-83.301781,310,
0,NA,2-1-6/16/2012,00:20,2,1,10-15,2-1,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.414315224,-1.27539062500,652.13159179700,13.41668987270,165.09268188500,0,-7.75246238708,35.5376,-83.301781,310,
0,NA,2-1-6/16/2012,00:20,2,1,15-20,2-1,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.414315224,-1.27539062500,652.13159179700,13.41668987270,165.09268188500,0,-7.75246238708,35.5376,-83.301781,310,
0,NA,2-1-6/16/2012,00:20,2,1,20-25,2-1,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.414315224,-1.27539062500,652.13159179700,13.41668987270,165.09268188500,0,-7.75246238708,35.5376,-83.301781,310,
0,NA,2-2-6/16/2012,00:20,2,2,0-5,2-2,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.413643837,-0.99688720703,651.74243164100,13.55851650240,161.95996093800,0,-7.77019405365,35.537641,-83.301743,310,
0,NA,2-2-6/16/2012,00:20,2,2,5-10,2-2,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.413643837,-0.99688720703,651.74243164100,13.55851650240,161.95996093800,0,-7.77019405365,35.537641,-83.301743,310,
0,NA,2-2-6/16/2012,00:20,2,2,10-15,2-2,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.413643837,-0.99688720703,651.74243164100,13.55851650240,161.95996093800,0,-7.77019405365,35.537641,-83.301743,310,
0,NA,2-2-6/16/2012,00:20,2,2,15-20,2-2,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.413643837,-0.99688720703,651.74243164100,13.55851650240,161.95996093800,0,-7.77019405365,35.537641,-83.301743,310,
0,NA,2-2-6/16/2012,00:20,2,2,20-25,2-2,1,06/16/2012,JAC,Clear,Dry,Dry,86.6,19.5,4.413643837,-0.99688720703,651.74243164100,13.55851650240,161.95996093800,0,-7.77019405365,35.537641,-83.301743,310,
0,NA,2-3-6/16/2012,00:20,2,3,0-5,2-3,1,06/16/2012,DJH,Clear,Dry,Dry,86.6,19.5,5.382514,-1.21594238281,654.32348632800,14.96248054500,155.81710815400,0,-7.92521047592,35.537691,-83.301708,310,
0,NA,2-3-6/16/2012,00:20,2,3,5-10,2-3,1,06/16/2012,DJH,Clear,Dry,Dry,86.6,19.5,5.382514,-1.21594238281,654.32348632800,14.96248054500,155.81710815400,0,-7.92521047592,35.537691,-83.301708,310,
0,NA,2-3-6/16/2012,00:20,2,3,10-15,2-3,1,06/16/2012,DJH,Clear,Dry,Dry,86.6,19.5,5.382514,-1.21594238281,654.32348632800,14.96248054500,155.81710815400,0,-7.92521047592,35.537691,-83.301708,310,
0,NA,2-3-6/16/2012,00:20,2,3,15-20,2-3,1,06/16/2012,DJH,Clear,Dry,Dry,86.6,19.5,5.382514,-1.21594238281,654.32348632800,14.96248054500,155.81710815400,0,-7.92521047592,35.537691,-83.301708,310,
0,NA,2-3-6/16/2012,00:20,2,3,20-25,2-3,1,06/16/2012,DJH,Clear,Dry,Dry,86.6,19.5,5.382514,-1.21594238281,654.32348632800,14.96248054500,155.81710815400,0,-7.92521047592,35.537691,-83.301708,310,
0,NA,2-4-6/16/2012,12:00,2,4,0-5,2-4,1,06/16/2012,JRM,Clear,Dry,Dry,86.6,19.5,5.382514,-1.64019775391,653.27770996100,14.99930477140,154.35656738300,0,-7.86159324646,35.537754,-83.301597,310,
0,NA,2-4-6/16/2012,12:00,2,4,5-10,2-4,1,06/16/2012,JRM,Clear,Dry,Dry,86.6,19.5,5.382514,-1.64019775391,653.27770996100,14.99930477140,154.35656738300,0,-7.86159324646,35.537754,-83.301597,310,
0,NA,2-4-6/16/2012,12:00,2,4,10-15,2-4,1,06/16/2012,JRM,Clear,Dry,Dry,86.6,19.5,5.382514,-1.64019775391,653.27770996100,14.99930477140,154.35656738300,0,-7.86159324646,35.537754,-83.301597,310,
0,NA,2-4-6/16/2012,12:00,2,4,15-20,2-4,1,06/16/2012,JRM,Clear,Dry,Dry,86.6,19.5,5.382514,-1.64019775391,653.27770996100,14.99930477140,154.35656738300,0,-7.86159324646,35.537754,-83.301597,310,
0,NA,2-4-6/16/2012,12:00,2,4,20-25,2-4,1,06/16/2012,JRM,Clear,Dry,Dry,86.6,19.5,5.382514,-1.64019775391,653.27770996100,14.99930477140,154.35656738300,0,-7.86159324646,35.537754,-83.301597,310,
0,NA,5-1-6/16/2012,22:58,5,1,0-5,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
0,NA,5-1-6/16/2012,22:58,5,1,5-10,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
0,NA,5-1-6/16/2012,22:58,5,1,10-15,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
0,NA,5-1-6/16/2012,22:58,5,1,15-20,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
1,EWIL,5-1-6/16/2012,22:58,5,1,20-25,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
1,PJOR,5-1-6/16/2012,22:58,5,1,20-25,5-1,1,06/16/2012,WEP,Clear,Dry,Dry,83.8,19.5,4.103564262,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575861,-83.342815,220,
0,NA,5-2-6/16/2012,22:58,5,2,0-5,5-2,1,06/16/2012,JAC,Clear,Dry,Dry,83.8,19.5,4.102423191,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575883,-83.342859,220,
0,NA,5-2-6/16/2012,22:58,5,2,5-10,5-2,1,06/16/2012,JAC,Clear,Dry,Dry,83.8,19.5,4.102423191,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575883,-83.342859,220,
1,PJOR,5-2-6/16/2012,22:58,5,2,10-15,5-2,1,06/16/2012,JAC,Clear,Dry,Dry,83.8,19.5,4.102423191,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575883,-83.342859,220,
0,NA,5-2-6/16/2012,22:58,5,2,15-20,5-2,1,06/16/2012,JAC,Clear,Dry,Dry,83.8,19.5,4.102423191,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575883,-83.342859,220,
0,NA,5-2-6/16/2012,22:58,5,2,20-25,5-2,1,06/16/2012,JAC,Clear,Dry,Dry,83.8,19.5,4.102423191,-3.65795898438,766.41827392600,9.55724430084,34.08134078980,147,-6.06296873093,35.575883,-83.342859,220,
0,NA,5-3-6/16/2012,22:58,5,3,0-5,5-3,1,06/16/2012,DJH,Clear,Dry,Dry,83.8,19.5,3.88744998,-4.27673339844,767.27941894500,8.99560070038,45.70498657230,165,-6.10610818863,35.575914,-83.342905,220,
0,NA,5-3-6/16/2012,22:58,5,3,5-10,5-3,1,06/16/2012,DJH,Clear,Dry,Dry,83.8,19.5,3.88744998,-4.27673339844,767.27941894500,8.99560070038,45.70498657230,165,-6.10610818863,35.575914,-83.342905,220,
2,PJOR,5-3-6/16/2012,22:58,5,3,10-15,5-3,1,06/16/2012,DJH,Clear,Dry,Dry,83.8,19.5,3.88744998,-4.27673339844,767.27941894500,8.99560070038,45.70498657230,165,-6.10610818863,35.575914,-83.342905,220,
0,NA,5-3-6/16/2012,22:58,5,3,15-20,5-3,1,06/16/2012,DJH,Clear,Dry,Dry,83.8,19.5,3.88744998,-4.27673339844,767.27941894500,8.99560070038,45.70498657230,165,-6.10610818863,35.575914,-83.342905,220,
1,PJOR,5-3-6/16/2012,22:58,5,3,20-25,5-3,1,06/16/2012,DJH,Clear,Dry,Dry,83.8,19.5,3.88744998,-4.27673339844,767.27941894500,8.99560070038,45.70498657230,165,-6.10610818863,35.575914,-83.342905,220,
0,NA,5-4-6/16/2012,22:58,5,4,0-5,5-4,1,06/16/2012,JRM,Clear,Dry,Dry,83.8,19.5,3.888717175,-4.92858886719,768.32025146500,10.86240100860,50.41762161250,173,-6.89911794662,35.575903,-83.343031,220,
0,NA,5-4-6/16/2012,22:58,5,4,5-10,5-4,1,06/16/2012,JRM,Clear,Dry,Dry,83.8,19.5,3.888717175,-4.92858886719,768.32025146500,10.86240100860,50.41762161250,173,-6.89911794662,35.575903,-83.343031,220,
0,NA,5-4-6/16/2012,22:58,5,4,10-15,5-4,1,06/16/2012,JRM,Clear,Dry,Dry,83.8,19.5,3.888717175,-4.92858886719,768.32025146500,10.86240100860,50.41762161250,173,-6.89911794662,35.575903,-83.343031,220,
1,PTEY,5-4-6/16/2012,22:58,5,4,15-20,5-4,1,06/16/2012,JRM,Clear,Dry,Dry,83.8,19.5,3.888717175,-4.92858886719,768.32025146500,10.86240100860,50.41762161250,173,-6.89911794662,35.575903,-83.343031,220,
1,PJOR,5-4-6/16/2012,22:58,5,4,20-25,5-4,1,06/16/2012,JRM,Clear,Dry,Dry,83.8,19.5,3.888717175,-4.92858886719,768.32025146500,10.86240100860,50.41762161250,173,-6.89911794662,35.575903,-83.343031,220,
1,PJOR,7-1-6/16/2012,22:37,7,1,0-5,7-1,1,06/16/2012,WEP,Clear,Dry,Dry,84.1,19.6,3.889715672,-1.25231933594,843.82299804700,7.81019830704,201.84387207000,0,-6.83726501465,35.586878,-83.358266,50,
1,PJOR,7-1-6/16/2012,22:37,7,1,5-10,7-1,1,06/16/2012,WEP,Clear,Dry,Dry,84.1,19.6,3.889715672,-1.25231933594,843.82299804700,7.81019830704,201.84387207000,0,-6.83726501465,35.586878,-83.358266,50,
1,PJOR,7-1-6/16/2012,22:37,7,1,10-15,7-1,1,06/16/2012,WEP,Clear,Dry,Dry,84.1,19.6,3.889715672,-1.25231933594,843.82299804700,7.81019830704,201.84387207000,0,-6.83726501465,35.586878,-83.358266,50,
0,NA,7-1-6/16/2012,22:37,7,1,15-20,7-1,1,06/16/2012,WEP,Clear,Dry,Dry,84.1,19.6,3.889715672,-1.25231933594,843.82299804700,7.81019830704,201.84387207000,0,-6.83726501465,35.586878,-83.358266,50,
0,NA,7-1-6/16/2012,22:37,7,1,20-25,7-1,1,06/16/2012,WEP,Clear,Dry,Dry,84.1,19.6,3.889715672,-1.25231933594,843.82299804700,7.81019830704,201.84387207000,0,-6.83726501465,35.586878,-83.358266,50,
0,NA,7-2-6/16/2012,22:37,7,2,0-5,7-2,1,06/16/2012,JAC,Clear,Dry,Dry,84.1,19.6,3.890716076,-1.17022705078,842.65405273400,8.58144187927,193.09834289600,0,-7.22924232483,35.586806,-83.358182,50,
0,NA,7-2-6/16/2012,22:37,7,2,5-10,7-2,1,06/16/2012,JAC,Clear,Dry,Dry,84.1,19.6,3.890716076,-1.17022705078,842.65405273400,8.58144187927,193.09834289600,0,-7.22924232483,35.586806,-83.358182,50,
0,NA,7-2-6/16/2012,22:37,7,2,10-15,7-2,1,06/16/2012,JAC,Clear,Dry,Dry,84.1,19.6,3.890716076,-1.17022705078,842.65405273400,8.58144187927,193.09834289600,0,-7.22924232483,35.586806,-83.358182,50,
0,NA,7-2-6/16/2012,22:37,7,2,15-20,7-2,1,06/16/2012,JAC,Clear,Dry,Dry,84.1,19.6,3.890716076,-1.17022705078,842.65405273400,8.58144187927,193.09834289600,0,-7.22924232483,35.586806,-83.358182,50,
0,NA,7-2-6/16/2012,22:37,7,2,20-25,7-2,1,06/16/2012,JAC,Clear,Dry,Dry,84.1,19.6,3.890716076,-1.17022705078,842.65405273400,8.58144187927,193.09834289600,0,-7.22924232483,35.586806,-83.358182,50,
0,NA,7-3-6/16/2012,22:37,7,3,0-5,7-3,1,06/16/2012,DJH,Clear,Dry,Dry,84.1,19.6,3.830534935,-1.71282958984,842.79626464800,8.55620574951,183.56559753400,0,-6.64001893997,35.586784,-83.358102,50,
0,NA,7-3-6/16/2012,22:37,7,3,5-10,7-3,1,06/16/2012,DJH,Clear,Dry,Dry,84.1,19.6,3.830534935,-1.71282958984,842.79626464800,8.55620574951,183.56559753400,0,-6.64001893997,35.586784,-83.358102,50,
0,NA,7-3-6/16/2012,22:37,7,3,10-15,7-3,1,06/16/2012,DJH,Clear,Dry,Dry,84.1,19.6,3.830534935,-1.71282958984,842.79626464800,8.55620574951,183.56559753400,0,-6.64001893997,35.586784,-83.358102,50,
1,EWIL,7-3-6/16/2012,22:37,7,3,15-20,7-3,1,06/16/2012,DJH,Clear,Dry,Dry,84.1,19.6,3.830534935,-1.71282958984,842.79626464800,8.55620574951,183.56559753400,0,-6.64001893997,35.586784,-83.358102,50,
0,NA,7-3-6/16/2012,22:37,7,3,20-25,7-3,1,06/16/2012,DJH,Clear,Dry,Dry,84.1,19.6,3.830534935,-1.71282958984,842.79626464800,8.55620574951,183.56559753400,0,-6.64001893997,35.586784,-83.358102,50,
0,NA,7-4-6/16/2012,22:37,7,4,0-5,7-4,1,06/16/2012,JRM,Clear,Dry,Dry,84.1,19.6,3.827995062,-2.52197265625,842.81109619100,12.18815326690,189.19905090300,0,-6.38201999664,35.586803,-83.357994,50,
0,NA,7-4-6/16/2012,22:37,7,4,5-10,7-4,1,06/16/2012,JRM,Clear,Dry,Dry,84.1,19.6,3.827995062,-2.52197265625,842.81109619100,12.18815326690,189.19905090300,0,-6.38201999664,35.586803,-83.357994,50,
1,PJOR,7-4-6/16/2012,22:37,7,4,10-15,7-4,1,06/16/2012,JRM,Clear,Dry,Dry,84.1,19.6,3.827995062,-2.52197265625,842.81109619100,12.18815326690,189.19905090300,0,-6.38201999664,35.586803,-83.357994,50,
2,PJOR,7-4-6/16/2012,22:37,7,4,15-20,7-4,1,06/16/2012,JRM,Clear,Dry,Dry,84.1,19.6,3.827995062,-2.52197265625,842.81109619100,12.18815326690,189.19905090300,0,-6.38201999664,35.586803,-83.357994,50,
0,NA,7-4-6/16/2012,22:37,7,4,20-25,7-4,1,06/16/2012,JRM,Clear,Dry,Dry,84.1,19.6,3.827995062,-2.52197265625,842.81109619100,12.18815326690,189.19905090300,0,-6.38201999664,35.586803,-83.357994,50,
0,NA,8-1-6/16/2012,22:06,8,1,0-5,8-1,1,06/16/2012,WEP,Clear,Dry,Dry,81.6,19,3.825272322,-0.54980468750,859.93988037100,6.65845584869,33.45002746580,136,-6.76566648483,35.588508,-83.36353,trail,
0,NA,8-1-6/16/2012,22:06,8,1,5-10,8-1,1,06/16/2012,WEP,Clear,Dry,Dry,81.6,19,3.825272322,-0.54980468750,859.93988037100,6.65845584869,33.45002746580,136,-6.76566648483,35.588508,-83.36353,trail,
0,NA,8-1-6/16/2012,22:06,8,1,10-15,8-1,1,06/16/2012,WEP,Clear,Dry,Dry,81.6,19,3.825272322,-0.54980468750,859.93988037100,6.65845584869,33.45002746580,136,-6.76566648483,35.588508,-83.36353,trail,
0,NA,8-1-6/16/2012,22:06,8,1,15-20,8-1,1,06/16/2012,WEP,Clear,Dry,Dry,81.6,19,3.825272322,-0.54980468750,859.93988037100,6.65845584869,33.45002746580,136,-6.76566648483,35.588508,-83.36353,trail,
0,NA,8-1-6/16/2012,22:06,8,1,20-25,8-1,1,06/16/2012,WEP,Clear,Dry,Dry,81.6,19,3.825272322,-0.54980468750,859.93988037100,6.65845584869,33.45002746580,136,-6.76566648483,35.588508,-83.36353,trail,
0,NA,8-2-6/16/2012,22:06,8,2,0-5,8-2,1,06/16/2012,JAC,Clear,Dry,Dry,81.6,19,3.823606253,-1.13421630859,859.64904785200,7.09962034225,57.17827606200,164,-5.11971902847,35.58855,-83.363814,trail,
0,NA,8-2-6/16/2012,22:06,8,2,5-10,8-2,1,06/16/2012,JAC,Clear,Dry,Dry,81.6,19,3.823606253,-1.13421630859,859.64904785200,7.09962034225,57.17827606200,164,-5.11971902847,35.58855,-83.363814,trail,
0,NA,8-2-6/16/2012,22:06,8,2,10-15,8-2,1,06/16/2012,JAC,Clear,Dry,Dry,81.6,19,3.823606253,-1.13421630859,859.64904785200,7.09962034225,57.17827606200,164,-5.11971902847,35.58855,-83.363814,trail,
