,Location,Treatment,Water Depth,Native Algae Mass,Invasive Algae Mass
147,DiamondHead,non-caged,shallow,18.3,29.72
148,DiamondHead,non-caged,shallow,19.6,29.37
149,DiamondHead,non-caged,shallow,21.6,31.5
150,DiamondHead,non-caged,shallow,19.8,30.85
151,DiamondHead,non-caged,shallow,19.1,28.8
152,DiamondHead,non-caged,shallow,22.5,31.73
153,DiamondHead,non-caged,deep,20.8,31.94
154,DiamondHead,non-caged,deep,19.4,34.01
155,DiamondHead,non-caged,deep,20.3,33.41
156,DiamondHead,non-caged,deep,20.1,32.28
157,DiamondHead,non-caged,deep,20,32.09
158,DiamondHead,non-caged,deep,18.9,31.5
159,DiamondHead,non-caged,deep,19.3,30.64
160,DiamondHead,non-caged,deep,22,33.97
