"ch"	"sex"	"weight"
"0011"	"Female"	5.57
"0011"	"Female"	5.64
"0010"	"Female"	5.7
"0011"	"Female"	5.75
"0011"	"Female"	5.82
"0010"	"Female"	5.84
"0010"	"Female"	5.93
"0011"	"Female"	6.17
"0011"	"Female"	6.26
"0010"	"Female"	6.31
"0011"	"Female"	6.37
"0010"	"Female"	6.39
"0011"	"Female"	6.43
"0010"	"Female"	6.46
"0011"	"Female"	6.54
"0010"	"Female"	6.55
"0011"	"Female"	6.58
"0011"	"Female"	6.59
"0011"	"Female"	6.67
"0011"	"Female"	6.73
"0011"	"Female"	6.77
"0011"	"Female"	6.91
"0011"	"Female"	6.93
"0010"	"Female"	7.59
"0011"	"Male"	1.89
"0011"	"Male"	2.2
"0010"	"Male"	2.34
"0011"	"Male"	3.05
"0011"	"Male"	3.24
"0011"	"Male"	3.42
"0011"	"Male"	3.44
"0011"	"Male"	3.56
"0011"	"Male"	3.58
"0011"	"Male"	3.66
"0010"	"Male"	3.67
"0010"	"Male"	3.69
"0011"	"Male"	3.71
"0011"	"Male"	3.71
"0011"	"Male"	3.73
"0011"	"Male"	3.76
"0010"	"Male"	3.82
"0010"	"Male"	3.88
"0011"	"Male"	3.89
"0010"	"Male"	3.91
"0011"	"Male"	4.02
"0011"	"Male"	4.09
"0011"	"Male"	4.1
"0011"	"Male"	4.1
"0011"	"Male"	4.2
"0011"	"Male"	4.21
"0011"	"Male"	4.22
"0011"	"Male"	4.26
"0011"	"Male"	4.3
"0011"	"Male"	4.36
"0011"	"Male"	4.37
"0010"	"Male"	4.39
"0011"	"Male"	4.4
"0011"	"Male"	4.42
"0011"	"Male"	4.44
"0011"	"Male"	4.44
"0011"	"Male"	4.46
"0011"	"Male"	4.47
"0011"	"Male"	4.49
"0011"	"Male"	4.51
"0011"	"Male"	4.52
"0011"	"Male"	4.53
"0010"	"Male"	4.55
"0011"	"Male"	4.63
"0011"	"Male"	4.71
"0011"	"Male"	4.77
"0010"	"Male"	4.79
"0010"	"Male"	4.81
"0011"	"Male"	4.89
"0011"	"Male"	4.93
"0011"	"Male"	4.93
"0011"	"Male"	4.95
"0011"	"Male"	4.98
"0011"	"Male"	4.98
"0010"	"Male"	4.98
"0011"	"Male"	5.05
"0011"	"Male"	5.06
"0010"	"Male"	5.07
"0011"	"Male"	5.09
"0011"	"Male"	5.14
"0011"	"Male"	5.21
"0010"	"Male"	5.23
"0011"	"Male"	5.26
"0011"	"Male"	5.29
"0010"	"Male"	5.34
"0011"	"Male"	5.43
"0011"	"Male"	5.46
"0010"	"Male"	5.46
"0011"	"Male"	5.47
"0011"	"Male"	5.52
"0011"	"Male"	5.53
"0010"	"Male"	5.54
"0011"	"Male"	5.56
"0011"	"Male"	5.59
"0011"	"Male"	5.6
"0011"	"Male"	5.62
"0010"	"Male"	5.66
"0011"	"Male"	5.66
"0011"	"Male"	5.67
"0010"	"Male"	5.7
"0011"	"Male"	5.71
"0011"	"Male"	5.85
"0011"	"Male"	5.86
"0010"	"Male"	5.92
"0010"	"Male"	6.19
"0010"	"Male"	6.2
"0010"	"Male"	6.2
"0011"	"Male"	6.29
"0011"	"Male"	6.45
"0011"	"Male"	6.54
"0011"	"Male"	6.57
"0011"	"Male"	6.58
"0011"	"Male"	6.59
"0011"	"Male"	6.64
"0011"	"Male"	6.72
"0010"	"Male"	6.85
"0011"	"Male"	6.93
"0011"	"Male"	6.94
"0011"	"Male"	7.21
"0011"	"Male"	7.32
"0100"	"Female"	1.7
"0110"	"Female"	1.76
"0111"	"Female"	2.92
"0100"	"Female"	3.23
"0111"	"Female"	3.25
"0110"	"Female"	3.25
"0111"	"Female"	3.33
"0111"	"Female"	3.43
"0111"	"Female"	3.57
"0110"	"Female"	3.59
"0100"	"Female"	3.65
"0111"	"Female"	3.67
"0111"	"Female"	3.75
"0111"	"Female"	3.88
"0110"	"Female"	3.89
"0100"	"Female"	3.9
"0110"	"Female"	3.92
"0111"	"Female"	3.92
"0111"	"Female"	4
"0101"	"Female"	4.05
"0110"	"Female"	4.07
"0111"	"Female"	4.1
"0111"	"Female"	4.14
"0110"	"Female"	4.15
"0110"	"Female"	4.18
"0111"	"Female"	4.19
"0111"	"Female"	4.27
"0111"	"Female"	4.3
"0110"	"Female"	4.32
"0111"	"Female"	4.36
"0110"	"Female"	4.37
"0110"	"Female"	4.48
"0110"	"Female"	4.56
"0100"	"Female"	4.56
"0110"	"Female"	4.58
"0110"	"Female"	4.63
"0111"	"Female"	4.67
"0111"	"Female"	4.72
"0110"	"Female"	4.73
"0111"	"Female"	4.73
"0110"	"Female"	4.76
"0111"	"Female"	4.78
"0111"	"Female"	4.82
"0110"	"Female"	4.84
"0111"	"Female"	4.84
"0110"	"Female"	4.86
"0110"	"Female"	5.02
"0111"	"Female"	5.04
"0111"	"Female"	5.06
"0111"	"Female"	5.13
"0110"	"Female"	5.14
"0111"	"Female"	5.15
"0100"	"Female"	5.18
"0111"	"Female"	5.19
"0111"	"Female"	5.21
"0100"	"Female"	5.23
"0100"	"Female"	5.27
"0111"	"Female"	5.35
"0111"	"Female"	5.36
"0111"	"Female"	5.38
"0111"	"Female"	5.39
"0110"	"Female"	5.41
"0110"	"Female"	5.42
"0110"	"Female"	5.43
"0110"	"Female"	5.44
"0110"	"Female"	5.44
"0110"	"Female"	5.45
"0111"	"Female"	5.45
"0110"	"Female"	5.5
"0110"	"Female"	5.55
"0111"	"Female"	5.58
"0110"	"Female"	5.59
"0111"	"Female"	5.61
"0111"	"Female"	5.62
"0100"	"Female"	5.62
"0111"	"Female"	5.63
"0110"	"Female"	5.66
"0111"	"Female"	5.7
"0111"	"Female"	5.75
"0101"	"Female"	5.81
"0111"	"Female"	5.86
"0111"	"Female"	5.9
"0111"	"Female"	5.92
"0110"	"Female"	5.92
"0110"	"Female"	5.93
"0101"	"Female"	6.03
"0111"	"Female"	6.1
"0110"	"Female"	6.16
"0111"	"Female"	6.22
"0100"	"Female"	6.28
"0110"	"Female"	6.36
"0111"	"Female"	6.51
"0111"	"Female"	6.55
"0110"	"Female"	6.55
"0110"	"Female"	6.61
"0100"	"Female"	6.69
"0110"	"Female"	6.76
"0111"	"Female"	7.17
"0110"	"Female"	7.47
"0101"	"Female"	7.64
"0111"	"Male"	2.72
"0111"	"Male"	3.21
"0100"	"Male"	3.22
"0110"	"Male"	3.32
"0111"	"Male"	3.37
"0110"	"Male"	3.4
"0101"	"Male"	3.46
"0111"	"Male"	3.5
"0111"	"Male"	3.52
"0111"	"Male"	3.64
"0110"	"Male"	3.73
"0111"	"Male"	3.83
"0101"	"Male"	3.88
"0110"	"Male"	4.06
"0111"	"Male"	4.08
"0111"	"Male"	4.08
"0110"	"Male"	4.1
"0111"	"Male"	4.11
"0111"	"Male"	4.16
"0110"	"Male"	4.19
"0110"	"Male"	4.21
"0111"	"Male"	4.31
"0111"	"Male"	4.37
"0111"	"Male"	4.42
"0111"	"Male"	4.44
"0111"	"Male"	4.45
"0111"	"Male"	4.45
"0101"	"Male"	4.51
"0110"	"Male"	4.52
"0111"	"Male"	4.54
"0101"	"Male"	4.65
"0111"	"Male"	4.68
"0100"	"Male"	4.69
"0110"	"Male"	4.72
"0111"	"Male"	4.72
"0110"	"Male"	4.74
"0110"	"Male"	4.74
"0110"	"Male"	4.74
"0111"	"Male"	4.76
"0111"	"Male"	4.77
"0101"	"Male"	4.79
"0111"	"Male"	4.8
"0111"	"Male"	4.86
"0110"	"Male"	4.87
"0111"	"Male"	4.87
"0100"	"Male"	4.88
"0111"	"Male"	4.89
"0111"	"Male"	4.9
"0110"	"Male"	4.91
"0111"	"Male"	4.96
"0110"	"Male"	5.03
"0101"	"Male"	5.07
"0100"	"Male"	5.14
"0110"	"Male"	5.15
"0111"	"Male"	5.26
"0110"	"Male"	5.3
"0110"	"Male"	5.31
"0110"	"Male"	5.35
"0111"	"Male"	5.38
"0111"	"Male"	5.48
"0111"	"Male"	5.5
"0111"	"Male"	5.5
"0111"	"Male"	5.52
"0110"	"Male"	5.53
"0111"	"Male"	5.55
"0111"	"Male"	5.56
"0110"	"Male"	5.65
"0111"	"Male"	5.65
"0111"	"Male"	5.67
"0111"	"Male"	5.67
"0110"	"Male"	5.69
"0110"	"Male"	5.7
"0111"	"Male"	5.78
"0111"	"Male"	5.79
"0111"	"Male"	5.79
"0111"	"Male"	5.82
"0111"	"Male"	5.82
"0111"	"Male"	5.83
"0111"	"Male"	5.84
"0101"	"Male"	5.84
"0110"	"Male"	5.85
"0111"	"Male"	5.87
"0111"	"Male"	5.9
"0111"	"Male"	5.97
"0111"	"Male"	6.03
"0110"	"Male"	6.08
"0111"	"Male"	6.15
"0111"	"Male"	6.24
"0110"	"Male"	6.24
"0110"	"Male"	6.28
"0110"	"Male"	6.34
"0111"	"Male"	6.37
"0101"	"Male"	6.39
"0111"	"Male"	6.56
"0111"	"Male"	6.57
"0101"	"Male"	6.59
"0110"	"Male"	6.59
"0101"	"Male"	6.65
"0110"	"Male"	6.92
"0110"	"Male"	7.09
"1010"	"Female"	2.5
"1111"	"Female"	2.98
"1000"	"Female"	2.98
"1010"	"Female"	3
"1000"	"Female"	3.25
"1000"	"Female"	3.29
"1100"	"Female"	3.36
"1011"	"Female"	3.45
"1000"	"Female"	3.6
"1000"	"Female"	3.62
"1000"	"Female"	3.69
"1011"	"Female"	3.71
"1011"	"Female"	3.73
"1000"	"Female"	3.8
"1111"	"Female"	4.01
"1110"	"Female"	4.05
"1110"	"Female"	4.1
"1000"	"Female"	4.17
"1110"	"Female"	4.22
"1100"	"Female"	4.24
"1000"	"Female"	4.24
"1110"	"Female"	4.3
"1010"	"Female"	4.33
"1010"	"Female"	4.34
"1111"	"Female"	4.46
"1111"	"Female"	4.5
"1011"	"Female"	4.52
"1011"	"Female"	4.54
"1100"	"Female"	4.54
"1011"	"Female"	4.57
"1010"	"Female"	4.58
"1010"	"Female"	4.63
"1011"	"Female"	4.65
"1011"	"Female"	4.67
"1111"	"Female"	4.71
"1111"	"Female"	4.72
"1110"	"Female"	4.79
"1010"	"Female"	4.82
"1000"	"Female"	4.96
"1011"	"Female"	4.97
"1010"	"Female"	4.98
"1011"	"Female"	4.98
"1000"	"Female"	4.99
"1000"	"Female"	5.04
"1011"	"Female"	5.05
"1011"	"Female"	5.06
"1110"	"Female"	5.1
"1111"	"Female"	5.11
"1111"	"Female"	5.11
"1011"	"Female"	5.11
"1011"	"Female"	5.16
"1111"	"Female"	5.16
"1111"	"Female"	5.18
"1111"	"Female"	5.18
"1111"	"Female"	5.19
"1101"	"Female"	5.22
"1111"	"Female"	5.23
"1111"	"Female"	5.28
"1111"	"Female"	5.3
"1011"	"Female"	5.31
"1110"	"Female"	5.31
"1001"	"Female"	5.34
"1111"	"Female"	5.37
"1011"	"Female"	5.38
"1111"	"Female"	5.4
"1010"	"Female"	5.41
"1011"	"Female"	5.43
"1000"	"Female"	5.43
"1000"	"Female"	5.43
"1011"	"Female"	5.44
"1011"	"Female"	5.49
"1010"	"Female"	5.52
"1110"	"Female"	5.54
"1010"	"Female"	5.55
"1111"	"Female"	5.59
"1000"	"Female"	5.61
"1011"	"Female"	5.61
"1100"	"Female"	5.65
"1010"	"Female"	5.75
"1010"	"Female"	5.76
"1000"	"Female"	5.81
"1110"	"Female"	5.9
"1111"	"Female"	5.98
"1000"	"Female"	6
"1111"	"Female"	6.01
"1101"	"Female"	6.08
"1011"	"Female"	6.2
"1101"	"Female"	6.22
"1111"	"Female"	6.28
"1010"	"Female"	6.29
"1110"	"Female"	6.36
"1110"	"Female"	6.61
"1011"	"Female"	6.69
"1010"	"Female"	6.71
"1111"	"Female"	6.94
"1111"	"Female"	7
"1011"	"Female"	7.12
"1001"	"Female"	7.21
"1111"	"Female"	7.23
"1011"	"Female"	8.34
"1011"	"Male"	2.71
"1100"	"Male"	2.75
"1111"	"Male"	2.77
"1011"	"Male"	3.31
"1110"	"Male"	3.52
"1011"	"Male"	3.52
"1100"	"Male"	3.56
"1011"	"Male"	3.65
"1010"	"Male"	3.67
"1110"	"Male"	3.8
"1011"	"Male"	3.87
"1100"	"Male"	3.92
"1111"	"Male"	3.94
"1010"	"Male"	3.98
"1000"	"Male"	3.99
"1011"	"Male"	4.04
"1011"	"Male"	4.12
"1011"	"Male"	4.14
"1111"	"Male"	4.18
"1111"	"Male"	4.22
"1111"	"Male"	4.36
"1010"	"Male"	4.37
"1111"	"Male"	4.38
"1011"	"Male"	4.39
"1111"	"Male"	4.39
"1111"	"Male"	4.4
"1011"	"Male"	4.41
"1110"	"Male"	4.42
"1011"	"Male"	4.51
"1011"	"Male"	4.62
"1110"	"Male"	4.63
"1011"	"Male"	4.63
"1000"	"Male"	4.64
"1010"	"Male"	4.68
"1110"	"Male"	4.7
"1111"	"Male"	4.73
"1111"	"Male"	4.75
"1000"	"Male"	4.79
"1010"	"Male"	4.79
"1111"	"Male"	4.88
"1011"	"Male"	4.89
"1100"	"Male"	4.91
"1110"	"Male"	4.91
"1100"	"Male"	4.93
"1011"	"Male"	4.99
"1000"	"Male"	4.99
"1110"	"Male"	5.02
"1011"	"Male"	5.04
"1111"	"Male"	5.06
"1010"	"Male"	5.17
"1011"	"Male"	5.17
"1011"	"Male"	5.19
"1011"	"Male"	5.22
"1111"	"Male"	5.23
"1001"	"Male"	5.24
"1110"	"Male"	5.27
"1110"	"Male"	5.3
"1011"	"Male"	5.3
"1000"	"Male"	5.3
"1010"	"Male"	5.3
"1111"	"Male"	5.34
"1000"	"Male"	5.35
"1111"	"Male"	5.35
"1011"	"Male"	5.36
"1011"	"Male"	5.45
"1111"	"Male"	5.45
"1111"	"Male"	5.47
"1011"	"Male"	5.47
"1011"	"Male"	5.49
"1011"	"Male"	5.49
"1111"	"Male"	5.5
"1101"	"Male"	5.56
"1000"	"Male"	5.6
"1110"	"Male"	5.64
"1111"	"Male"	5.67
"1010"	"Male"	5.7
"1010"	"Male"	5.76
"1010"	"Male"	5.79
"1011"	"Male"	5.84
"1111"	"Male"	5.86
"1011"	"Male"	5.89
"1111"	"Male"	5.9
"1100"	"Male"	5.9
"1011"	"Male"	5.96
"1111"	"Male"	6.01
"1011"	"Male"	6.01
"1011"	"Male"	6.14
"1010"	"Male"	6.18
"1010"	"Male"	6.26
"1111"	"Male"	6.26
"1011"	"Male"	6.28
"1011"	"Male"	6.31
"1010"	"Male"	6.4
"1101"	"Male"	6.6
"1011"	"Male"	6.64
"1011"	"Male"	6.75
"1111"	"Male"	6.91
"1011"	"Male"	7.09
"1011"	"Male"	7.17
"1000"	"Male"	7.41
