"no"	"site"	"region"	"site2"	"area"	"elevation"	"landuse"	"year"	"count1"	"count2"	"mean.density"
149	"BE05"	"Aare"	NA	1.97	532	"grass"	2004	NA	NA	NA
150	"BE05"	"Aare"	NA	1.97	532	"grass"	2005	NA	NA	NA
151	"BE05"	"Aare"	NA	1.97	532	"grass"	2006	NA	NA	NA
152	"BE05"	"Aare"	NA	1.97	532	"grass"	2007	NA	NA	NA
153	"BE05"	"Aare"	NA	1.97	532	"grass"	2008	NA	NA	NA
154	"BE06"	"Aare"	NA	8.39	542	"grass"	1992	25	28	3.3373063170441
155	"BE06"	"Aare"	NA	8.39	542	"grass"	1993	23	30	3.57568533969011
156	"BE06"	"Aare"	NA	8.39	542	"grass"	1994	32	43	5.12514898688915
157	"BE06"	"Aare"	NA	8.39	542	"grass"	1995	44	24	5.24433849821216
158	"BE06"	"Aare"	NA	8.39	542	"grass"	1996	NA	NA	NA
159	"BE06"	"Aare"	NA	8.39	542	"grass"	1997	NA	NA	NA
160	"BE06"	"Aare"	NA	8.39	542	"grass"	1998	29	30	3.57568533969011
161	"BE06"	"Aare"	NA	8.39	542	"grass"	1999	NA	NA	NA
162	"BE06"	"Aare"	NA	8.39	542	"grass"	2000	30	23	3.57568533969011
163	"BE06"	"Aare"	NA	8.39	542	"grass"	2001	NA	NA	NA
164	"BE06"	"Aare"	NA	8.39	542	"grass"	2002	NA	NA	NA
165	"BE06"	"Aare"	NA	8.39	542	"grass"	2003	NA	NA	NA
166	"BE06"	"Aare"	NA	8.39	542	"grass"	2004	NA	NA	NA
167	"BE06"	"Aare"	NA	8.39	542	"grass"	2005	22	16	2.62216924910608
168	"BE06"	"Aare"	NA	8.39	542	"grass"	2006	NA	NA	NA
169	"BE06"	"Aare"	NA	8.39	542	"grass"	2007	NA	NA	NA
170	"BE06"	"Aare"	NA	8.39	542	"grass"	2008	NA	NA	NA
171	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1992	10	15	2.94117647058824
172	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1993	17	17	3.33333333333333
173	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1994	17	8	3.33333333333333
174	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1995	7	8	1.56862745098039
175	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1996	13	11	2.54901960784314
176	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1997	8	10	1.96078431372549
177	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1998	3	12	2.35294117647059
178	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	1999	NA	NA	NA
179	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2000	10	8	1.96078431372549
180	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2001	14	9	2.74509803921569
181	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2002	12	13	2.54901960784314
182	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2003	5	6	1.17647058823529
183	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2004	8	11	2.15686274509804
184	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2005	7	7	1.37254901960784
185	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2006	2	10	1.96078431372549
186	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2007	9	10	1.96078431372549
187	"BE08"	"CH.W"	"Seeland"	5.1	434	"arable"	2008	9	14	2.74509803921569
188	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1992	130	156	7.9958995386981
189	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1993	148	157	8.0471553049718
190	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1994	170	151	8.71348026652998
191	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1995	169	141	8.66222450025628
192	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1996	NA	NA	NA
193	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1997	141	155	7.9446437724244
194	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1998	NA	NA	NA
195	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	1999	NA	NA	NA
196	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2000	108	102	5.53562275756023
197	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2001	98	94	5.02306509482317
198	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2002	99	100	5.12557662737058
199	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2003	75	79	4.04920553562276
200	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2004	72	98	5.02306509482317
201	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2005	104	118	6.04818042029728
202	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2006	114	130	6.66324961558175
203	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2007	88	90	4.61301896463352
204	"BE09"	"CH.W"	"Seeland"	19.51	432	"arable"	2008	126	116	6.45822655048693
205	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1992	48	51	19.7674418604651
206	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1993	31	34	13.1782945736434
207	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1994	54	51	20.9302325581395
208	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1995	31	44	17.0542635658915
209	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1996	33	37	14.3410852713178
210	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1997	46	34	17.8294573643411
211	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1998	52	47	20.1550387596899
212	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	1999	57	48	22.0930232558140
213	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2000	37	34	14.3410852713178
214	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2001	25	34	13.1782945736434
215	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2002	38	37	14.7286821705426
216	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2003	43	37	16.6666666666667
217	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2004	37	31	14.3410852713178
218	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2005	30	33	12.7906976744186
219	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2006	33	18	12.7906976744186
220	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2007	25	16	9.68992248062015
221	"BE12"	"CH.W"	"Seeland"	2.58	433	"arable"	2008	30	23	11.6279069767442
222	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1992	11	8	3.15186246418338
223	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1993	16	15	4.58452722063037
224	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1994	9	14	4.01146131805158
225	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1995	11	16	4.58452722063037
226	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1996	19	20	5.73065902578796
227	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1997	21	24	6.87679083094556
228	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1998	34	40	11.4613180515759
229	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	1999	31	30	8.88252148997135
230	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2000	30	28	8.59598853868195
231	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2001	25	23	7.16332378223496
232	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2002	21	22	6.30372492836676
233	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2003	14	15	4.29799426934097
234	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2004	19	22	6.30372492836676
235	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2005	16	17	4.87106017191977
236	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2006	19	16	5.44412607449857
237	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2007	15	16	4.58452722063037
238	"BE19"	"Aare"	"Aaretal"	3.49	430	"arable"	2008	17	19	5.44412607449857
239	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1992	27	26	3.53866317169069
240	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1993	31	36	4.71821756225426
241	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1994	37	34	4.84927916120577
242	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1995	32	27	4.19397116644823
243	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1996	NA	NA	NA
244	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1997	34	36	4.71821756225426
245	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1998	NA	NA	NA
246	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	1999	42	52	6.81520314547837
247	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2000	62	59	8.12581913499345
248	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2001	71	63	9.30537352555701
249	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2002	57	52	7.47051114023591
250	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2003	40	55	7.2083879423329
251	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2004	55	45	7.2083879423329
252	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2005	56	53	7.3394495412844
253	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2006	47	35	6.15989515072084
254	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2007	55	48	7.2083879423329
255	"BE20"	"Aare"	"Aaretal"	7.63	430	"arable"	2008	37	31	4.84927916120577
256	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1992	9	10	1.98412698412698
257	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1993	9	7	1.78571428571429
258	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1994	2	4	0.793650793650794
259	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1995	2	7	1.38888888888889
260	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1996	NA	NA	NA
261	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1997	NA	NA	NA
262	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1998	NA	NA	NA
263	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	1999	8	9	1.78571428571429
264	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2000	10	16	3.17460317460317
265	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2001	NA	NA	NA
266	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2002	8	7	1.58730158730159
267	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2003	1	5	0.992063492063492
268	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2004	4	7	1.38888888888889
269	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2005	2	10	1.98412698412698
270	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2006	5	5	0.992063492063492
271	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2007	1	2	0.396825396825397
272	"BE23"	"Aare"	"Emmental"	5.04	480	"arable"	2008	1	2	0.396825396825397
273	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1992	16	18	2.20048899755501
274	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1993	27	32	3.9119804400978
275	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1994	36	35	4.40097799511002
276	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1995	29	32	3.9119804400978
277	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1996	NA	NA	NA
278	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1997	NA	NA	NA
279	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1998	NA	NA	NA
280	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	1999	50	53	6.47921760391198
281	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2000	48	53	6.47921760391198
282	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2001	NA	NA	NA
283	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2002	45	56	6.84596577017115
284	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2003	26	34	4.15647921760391
285	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2004	36	40	4.88997555012225
286	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2005	27	25	3.30073349633252
287	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2006	18	19	2.32273838630807
288	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2007	17	21	2.56723716381418
289	"BE24"	"Aare"	"Emmental"	8.18	480	"arable"	2008	30	23	3.66748166259169
290	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1992	25	24	2.53292806484296
291	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1993	27	29	2.93819655521783
292	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1994	23	37	3.74873353596758
293	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1995	34	52	5.26849037487335
294	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1996	NA	NA	NA
295	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1997	NA	NA	NA
296	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1998	NA	NA	NA
297	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	1999	35	55	5.57244174265451
298	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2000	76	72	7.7001013171226
299	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2001	NA	NA	NA
300	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2002	38	64	6.48429584599797
301	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2003	NA	NA	NA
302	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2004	NA	NA	NA
303	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2005	34	36	3.64741641337386
304	"BE25"	"Aare"	"Emmental"	9.87	493	"arable"	2006	NA	NA	NA
